time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
8.33,-0.08086657539576159,-0.06766274712137044,0.027989715094734358,2.739762668482094,1.5600104826408783,-1.251475797373336,-1.319825616003493,2.1139131393376465,1.3816985839239901,-3.711375812237572e-05,0.0008271529111815584,-5.099344350491253e-05,0.0027708991326955337,0.002302061185638883,0.000961920688799103,1.8848578348466014,1.6214312182861765,-0.7841542421550559
8.34,-0.08085554814831242,-0.06790664075277641,0.027973808388601862,2.759871720490282,1.5262784027802325,-1.2849276916938104,-1.29222689879859,2.1291759233654486,1.368849307007052,-3.7192423800833097e-05,0.0008276566080833714,-5.2581004440176854e-05,0.002770527208457525,0.002310337751719717,0.0009613948787547012,1.884639830099658,1.6263433880497886,-0.7837949524626343
8.35,-0.08084450685903155,-0.06815068174404937,0.027957467943516612,2.7795721257274058,1.4922765853147713,-1.3180624702420487,-1.264431177541316,2.1440986892185965,1.3556686823046316,-3.726194530168092e-05,0.0008281476768104007,-5.415589411836633e-05,0.0027701545890045083,0.0023186192284878207,0.0009608533198135176,1.8844215444238488,1.6312565943005182,-0.7834258320522327
8.36,-0.0808334535442925,-0.06839486690611052,0.027940698181840418,2.798859356283437,1.45800900043412,-1.3508719101860576,-1.2364425839784816,2.158678779222938,1.342159963202771,-3.732300391054433e-05,0.0008286266656570701,-5.57173537759012e-05,0.0027697813589654028,0.0023269054951443914,0.0009602961462757586,1.8842030176949627,1.6361707799998446,-0.7830469782284912
8.370000000000001,-0.08082239008020475,-0.06863919322172096,0.02792350376120889,2.817728883575184,1.423479770765805,-1.3833478662727003,-1.2082652951427297,2.172913576930596,1.328326484540044,-3.737622017870035e-05,0.0008290941334242324,-5.726460445135487e-05,0.0027694075967636157,0.002335196436478634,0.000959723500231245,1.8839842870157812,1.641085891609151,-0.7826584935761537
8.38,-0.08081131822725007,-0.06888365783044303,0.027905889579639354,2.836176184760988,1.3886931762209316,-1.415482272954069,-1.1799035332951198,2.1868005086928055,1.3141716618105033,-3.742214720495185e-05,0.0008295506312698264,-5.879684739265936e-05,0.0027690333752915662,0.002343491942791332,0.0009591355317573184,1.8837653872027518,1.6460018787806945,-0.7822604860800975
8.39,-0.08080023965371641,-0.0691282580128485,0.02788786077980321,2.854196750106564,1.353653657664625,-1.4472671465371216,-1.1513615657940541,2.200337045269452,1.2996989903451321,-3.746126710174602e-05,0.0008299966891464894,-6.031326519824465e-05,0.002768658762620549,0.0023517919096827967,0.0009585323991053359,1.8835463512490367,1.650918694034091,-0.7818530692267288
8.4,-0.08078915595753244,-0.0693729911752099,0.027869422752383466,2.8717860911582234,1.318365819646419,-1.4786945873463582,-1.122643704882472,2.213520703465916,1.2849120444716686,-3.7493990102846486e-05,0.0008304328067151312,-6.181302356074447e-05,0.0027682838227195204,0.002360096237749948,0.0009579142688697285,1.8833272107560657,1.6558362924431784,-0.7814363620849466
8.41,-0.08077806868618764,-0.06961785483621874,0.027850581138453068,2.8889397495774265,1.2828344325577306,-1.5097567818827873,-1.0937543073866978,2.2263490477914933,1.2698144766528408,-3.7520655848402584e-05,0.0008308594489612603,-6.329527350471334e-05,0.002767908616161036,0.002368404832239561,0.0009572813161346814,1.8831079963273436,1.6607546313642136,-0.7810104893651957
8.42,-0.08076697935435107,-0.06986284661863573,0.02783134183082181,2.9056533064537744,1.2470644350348858,-1.5404460049397384,-1.06469777432216,2.2388196921418424,1.2544100166034433,-3.7541536592314295e-05,0.0008312770480360665,-6.475915402913424e-05,0.002767533200795113,0.0023767176027199217,0.00095663372459439,1.8828887379168575,1.6656736702635486,-0.7805755814554112
8.43,-0.08075588945620726,-0.07010796427096944,0.027811710973121517,2.921922391106877,1.211060944361278,-1.5707546212010202,-1.0354785504110913,2.250930301585455,1.238702470391433,-3.755684474571197e-05,0.0008316860345868871,-6.620379631044199e-05,0.002767157632347656,0.0023850344630657904,0.0009559716866312856,1.8826694650731972,1.6705933711473344,-0.7801317744060571
8.44,-0.08074480038823595,-0.07035320644780985,0.027791694911516673,2.937742663375677,1.174829503117201,-1.6006750708661222,-1.0061011237773345,2.262678596616627,1.222695719682772,-3.7566827751675524e-05,0.000832087618536495,-6.76283756982192e-05,0.0027667819640701395,0.002393355339251155,0.0009552954028743034,1.8824502054158878,1.6755137141830736,-0.7796792088456171
8.45,-0.08073371288849773,-0.07059857806306846,0.027771299964361562,2.9531096654487783,1.1383776211488414,-1.6301997743068957,-0.9765700271228467,2.2740623728281153,1.206393721939703,-3.757231846740483e-05,0.0008324889129777413,-6.90323370031963e-05,0.0027664062408854656,0.0024016802283809324,0.0009546050795042714,1.8822309735668887,1.6804348048342885,-0.7792180247840546
8.46,-0.08072262766406324,-0.07084408537165743,0.02775053380702852,2.9680191268997786,1.1017123590818851,-1.6593214277497956,-0.9468898358538489,2.285079496418934,1.189800507662205,-3.757393504005835e-05,0.0008328962775954185,-7.04138824850209e-05,0.002766030501535065,0.0024100091911568866,0.0009539009406794212,1.8820117835289174,1.6853567752674108,-0.7787483928869158
8.47,-0.08071154742663023,-0.07108971743992454,0.027729404867714136,2.9824671942997387,1.0648380067565255,-1.688032986383866,-0.9170651639108515,2.2957278764864992,1.1729201777983662,-3.75701086240271e-05,0.0008332970101428278,-7.177095839815822e-05,0.0027656548004488246,0.002418342161258315,0.0009531832310954397,1.8817926888700038,1.6902794136484853,-0.7782705008615388
