time,d_delta_roll,d_delta_pitch,d_delta_yaw,delta_roll,delta_pitch,delta_yaw
0.9500000000000001,3.6421200975952988,6.041532176695743,0.04491000251343469,-1.1349926735344247,-1.7402073471521633,-0.060409944813779856
0.96,3.8627445925288617,1.4259470698347014,-0.05044052149713241,-1.096365227609136,-1.7259478764538163,-0.06091435002875118
0.97,2.999737151552722,2.741727397018108,-0.14526012855597048,-1.0663678560936087,-1.6985306024836353,-0.06236695131431089
0.98,2.003793781374183,5.817850209495601,-0.17670827149823126,-1.0463299182798669,-1.6403521003886792,-0.0641340340292932
0.99,1.6362666920137978,6.0701609917642365,-0.18031183861367256,-1.0299672513597289,-1.579650490471037,-0.06593715241542993
1.0,1.8505429739379755,4.189447347689998,-0.17880231585334333,-1.011461821620349,-1.5377560169941369,-0.06772517557396336
1.01,1.9235808966869001,3.131961105173694,-0.1763584030459583,-0.99222601265348,-1.5064364059424,-0.06948875960442294
1.02,1.7176981488377834,3.7750669279886715,-0.16246301260001433,-0.9750490311651021,-1.4686857366625132,-0.07111338973042308
1.03,1.5676760238721812,4.606767188752735,-0.1419981939352593,-0.9593722709263803,-1.422618064774986,-0.07253337166977568
1.04,1.6757746255618584,4.5416466960764454,-0.11900958731340072,-0.9426145246707618,-1.3772015978142216,-0.07372346754290969
1.05,1.9178177709704651,3.6317964433860532,-0.09147125364903941,-0.9234363469610571,-1.340883633380361,-0.07463818007940008
1.06,2.0862048066992407,2.7481859228835512,-0.06115442399731452,-0.9025742988940647,-1.3134017741515256,-0.07524972431937323
1.07,2.236770273614682,3.6881111926477064,-0.029514382501845404,-0.8802065961579179,-1.2765206622250485,-0.07554486814439168
1.08,1.933812770894082,4.306241458946284,-0.004410634880689435,-0.860868468448977,-1.2334582476355855,-0.07558897449319857
1.09,2.0027015152164327,3.7623585394297283,0.020001273646616524,-0.8408414532968127,-1.1958346622412883,-0.0753889617567324
1.1,2.308043967166216,2.762823218166736,0.04410236419778263,-0.8177610136251505,-1.1682064300596209,-0.07494793811475457
1.11,2.3977249186032483,2.9880384101713693,0.06806104922856904,-0.793783764439118,-1.1383260459579072,-0.07426732762246888
1.12,2.388994188716931,3.2154786344615283,0.0870668110647903,-0.7698938225519487,-1.106171259613292,-0.07339665951182098
1.1300000000000001,2.4592703112954806,3.0748619559850323,0.10391026836720657,-0.7453011194389939,-1.0754226400534417,-0.07235755682814891
1.1400000000000001,2.5634452546952256,2.7452800336261847,0.1187170442923326,-0.7196666668920416,-1.04796983971718,-0.07117038638522559
1.1500000000000001,2.609588436933312,2.5438068489756462,0.1316153963008351,-0.6935707825227085,-1.0225317712274236,-0.06985423242221724
1.16,2.5953701828453353,2.468837993466028,0.14229008134445606,-0.6676170806942552,-0.9978433912927632,-0.06843133160877267
1.17,2.56232814643232,2.4064975500618764,0.15091607057738193,-0.6419937992299319,-0.9737784157921444,-0.06692217090299885
1.18,2.532007009071164,2.3169330827607206,0.1577198023689922,-0.6166737291392203,-0.9506090849645372,-0.06534497287930892
1.19,2.4899500674684343,2.2350763756211354,0.1628617566146141,-0.5917742284645359,-0.9282583212083259,-0.06371635531316278
1.2,2.418198025383455,2.212260654845303,0.16651569432549373,-0.5675922482107013,-0.9061357146598729,-0.062051198369907835
1.21,2.579602637921484,2.1955650281807104,0.1688905423722346,-0.5417962218314865,-0.8841800643780657,-0.06036229294618549
1.22,2.4770313180458303,1.9538723714209492,0.16910538278038617,-0.5170259086510282,-0.8646413406638562,-0.058671239118381624
1.23,2.371854565353557,2.0644436815182354,0.16902199267041954,-0.49330736299749256,-0.8439969038486739,-0.05698101919167743
1.24,2.227103293725027,2.164890453508283,0.16797279752604935,-0.4710363300602423,-0.822347999313591,-0.055301291216416935
1.25,2.0705770487947652,2.245243005451149,0.1661732633451586,-0.4503305595722947,-0.7998955692590796,-0.053639558582965347
1.26,1.9071950817946268,2.3425242010308924,0.16394011625029437,-0.4312586087543484,-0.7764703272487706,-0.052000157420462406
1.27,1.759519649206241,2.4656749679452936,0.16109366868914693,-0.413663412262286,-0.7518135775693177,-0.05038922073357094
1.28,1.6308440484971567,2.6057144156430514,0.1579185703186939,-0.39735497177731444,-0.7257564334128871,-0.048810035030384
1.29,1.5130890020913996,2.7516375486417433,0.1545268396800693,-0.38222408175640044,-0.6982400579264697,-0.04726476663358331
1.3,1.4044238675265401,2.893044766690113,0.15105062760491705,-0.36817984308113505,-0.6693096102595686,-0.04575426035753414
1.31,1.3056585535494563,3.0164977939616695,0.14760228547472554,-0.3551232575456405,-0.6391446323199519,-0.04427823750278689
1.32,1.2165291282432902,2.644898212638594,0.14422726046054227,-0.3429579662632076,-0.612695650193566,-0.042835964898181464
1.33,1.1398838326071827,2.310791047710669,0.1409566203684154,-0.3315591279371358,-0.5895877397164593,-0.04142639869449731
1.34,1.027930884885541,2.025485062774015,0.13800901625092546,-0.3212798190882804,-0.5693328890887192,-0.040046308531988054
1.35,1.1970425841623256,1.736000778716143,0.13499979494580977,-0.3093093932466571,-0.5519728813015577,-0.03869631058252995
1.36,1.105880920650856,1.4845405543442096,0.1330710488073774,-0.2982505840401486,-0.5371274757581157,-0.03736560009445618
1.37,1.0577759877361372,1.3001448988510398,0.1310699784579019,-0.2876728241627872,-0.5241260267696053,-0.03605490030987716
1.3800000000000001,1.0301275276039006,1.1458748504635698,0.12924811805161093,-0.2773715488867482,-0.5126672782649696,-0.03476241912936105
1.3900000000000001,1.0080548093617983,1.019795757199114,0.12750625194696188,-0.26729100079313023,-0.5024693206929784,-0.03348735660989143
1.4000000000000001,0.9862724803002083,0.9246032615295512,0.12575942102152451,-0.25742827599012813,-0.49322328807768295,-0.03222976239967619
1.41,0.9646751580713437,0.860234015888443,0.12392667951130681,-0.2477815244094147,-0.4846209479187985,-0.03099049560456312
1.42,0.9430387907155956,0.8247616136206359,0.12194478548159166,-0.23835113650225875,-0.47637333178259217,-0.029771047749747204
1.43,0.9211699997660996,0.8150012500217305,0.11976454539699813,-0.22913943650459775,-0.4682233192823749,-0.028573402295777223
1.44,0.8990280049753452,0.8269449953579691,0.11735353501199362,-0.2201491564548443,-0.4599538693287952,-0.027399866945657287
1.45,0.87676472544943,0.8561371788989647,0.11469549574804058,-0.21138150920035,-0.45139249753980554,-0.02625291198817688
1.46,0.8546629884496919,0.8979924092795435,0.1117891297293025,-0.2028348793158531,-0.4424125734470101,-0.025135020690883855
1.47,0.8330713687319046,0.9480527992405072,0.10864603209034969,-0.19450416562853404,-0.43293204545460506,-0.02404856036998036
1.48,0.812345727903267,1.0021842522459015,0.10528832592732225,-0.18638070834950138,-0.42291020293214604,-0.022995677110707137
1.49,0.7928048351112005,1.056715868209214,0.10174621638784419,-0.17845265999838938,-0.4123430442500539,-0.021978214946828695
1.5,0.7786604870624926,1.1084711361665294,0.09805280895116758,-0.17066605512776445,-0.40125833288838864,-0.020997686857317018
1.51,0.7664056322804026,1.1549537419837894,0.09425231000787598,-0.1630019988049604,-0.38970879546855075,-0.02005516375723826
1.52,0.7553169076061333,1.194321305664207,0.09038345847985824,-0.1554488297288991,-0.37776558241190866,-0.019151329172439675
1.53,0.7454839887565415,1.2250624032539128,0.08720581391844964,-0.14799398984133366,-0.36551495837936954,-0.01827927103325518
1.54,0.7318320077223777,1.2463733674311808,0.08378431965255752,-0.1406756697641099,-0.35305122470505773,-0.017441427836729605
1.55,0.6658222084097757,1.2579795668469824,0.08039511808086487,-0.13401744768001214,-0.3404714290365879,-0.016637476655920955
1.56,0.6017814761653286,1.2598566132472473,0.07701428788682746,-0.12799963291835886,-0.32787286290411544,-0.01586733377705268
1.57,0.5408761540189638,1.2523789333805768,0.07368658134678147,-0.12259087137816922,-0.31534907357030967,-0.015130467963584865
1.58,0.4836276823011607,1.2360973396660244,0.07043575867991128,-0.11775459455515762,-0.3029881001736494,-0.01442611037678575
1.59,0.4291937478762055,1.2117689561710099,0.06728564908623015,-0.11346265707639556,-0.2908704106119393,-0.01375325388592345
1.6,0.37752162868578876,1.1802930286494928,0.06425430302395391,-0.10968744078953768,-0.2790674803254444,-0.01311071085568391
1.61,0.32898800304569736,1.1426487719733436,0.061354990598642536,-0.1063975607590807,-0.26764099260571095,-0.012497160949697484
1.62,0.28387227924283676,1.099834834286015,0.05859586430275211,-0.10355883796665234,-0.25664264426285077,-0.011911202306669963
1.6300000000000001,0.24239926746403595,1.0528241840592656,0.05598036616697426,-0.10113484529201199,-0.24611440242225813,-0.01135139864500022
1.6400000000000001,0.20475610023767382,1.002534870249273,0.05350769066666114,-0.09908728428963524,-0.2360890537197654,-0.01081632173833361
1.6500000000000001,0.17109864325300567,0.9498136978971221,0.051173426436095695,-0.09737629785710519,-0.22659091674079418,-0.010304587473972653
1.6600000000000001,0.14735013697525573,0.8954411907266415,0.04898435550179046,-0.09590279648735263,-0.21763650483352776,-0.009814743918954748
1.67,0.12752717748615633,0.8400890944950328,0.04690693880699209,-0.09462752471249107,-0.20923561388857742,-0.009345674530884827
1.68,0.11066768875187044,0.7843525929799364,0.04493975702597978,-0.09352084782497237,-0.20139208795877805,-0.008896276960625029
1.69,0.09686721488972194,0.7287850344972883,0.04306877318416564,-0.09255217567607515,-0.19410423761380516,-0.008465589228783373
1.7,0.08620669200531478,0.6738635347164974,0.04128355026491179,-0.091690108756022,-0.18736560226664017,-0.008052753726134256
