time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
18.22,-0.05395154820698589,-0.08154867358347007,-0.03181166936440949,2.575270338127108,2.0378046960841023,0.9104471634339223,-1.595443111713793,1.8965551833447765,-1.5200846669274704,-0.0029187288562204025,-0.001667547338912334,-0.002774743279577503,0.0019255297002759844,0.002832970045728334,0.001162422829998351,1.3419203218263411,1.898392271726822,0.8697564981984337
18.23,-0.05299333134276063,-0.08108570012797078,-0.030917136612956142,2.6043071645388896,2.0079008692474805,0.950862540772373,-1.569400040068404,1.9166341920372512,-1.5105760415197467,-0.003020346732312121,-0.0016384218657458788,-0.0028769136420074594,0.001895326232952863,0.0028165858270708753,0.0011336536935782765,1.3220908362818948,1.8892435548257331,0.849887881296169
18.240000000000002,-0.052007322986215465,-0.0806340421603815,-0.02999745271176457,2.6329339657390305,1.9775556408744581,0.9910434181718338,-1.5430707004110138,1.9364097484459957,-1.5006656073380282,-0.0031201816494129675,-0.0016066153793553445,-0.002977977287977447,0.0018641244164587334,0.002800519673277322,0.001103873920698502,1.3016407311969331,1.8803132398075009,0.8293732369632283
18.25,-0.05099422746250193,-0.08019445078567777,-0.029053472341787456,2.6611315638729174,1.9467648294407813,1.0309739376584879,-1.5164593847722847,1.9558773967404035,-1.4903558679614433,-0.0032180949790444613,-0.001572165859105315,-0.0030780851872526417,0.0018319434666682888,0.002784798014686269,0.0010730930688259755,1.2805794056907067,1.8716165245207435,0.8082203904791718
18.26,-0.04995480026617849,-0.07976766954186254,-0.028086106877187156,2.688883066788068,1.9155257327082238,1.0706380890476284,-1.489570554104404,1.9750326540674858,-1.4796494870709669,-0.003313944162093331,-0.0015351074200604803,-0.003177410122322876,0.0017988040250473555,0.0027694469404856642,0.0010413189676027467,1.258917063787844,1.8631684856478021,0.786437615216766
18.27,-0.048889843524335674,-0.07935443140295351,-0.027096327605809822,2.7161735242063165,1.8838370172845786,1.1100200320342815,-1.4624088188623408,1.9938710242403317,-1.468549286750624,-0.0034075899391792647,-0.0014954744653827151,-0.003276154076070178,0.001764728125655563,0.002754492195831837,0.001008557426842045,1.2366646146284703,1.854984017107862,0.7640336332587826
18.28,-0.047800202051331064,-0.07895545628617007,-0.02608516477874856,2.742989590858393,1.8516986268255082,1.149103909701218,-1.4349789229537568,2.012388010508587,-1.4570582476536118,-0.00349890128016999,-0.0014533041101973398,-0.003374557166695182,0.001729739112853863,0.0027399591547298636,0.0009748118551750932,1.213833583143923,1.8470777779952576,0.7410175102553399
18.29,-0.04668676054817711,-0.07857144901031532,-0.02505370901894044,2.7693192686471617,1.8191117096597114,1.1878738445486068,-1.4072857302672852,2.030579127605184,-1.4451795092081257,-0.0035877582421158308,-0.0014086374404134738,-0.003472899049851142,0.0016938615304327048,0.002725872780325729,0.0009400828646765818,1.1904360427241079,1.8394641490765098,0.7173985877127323
18.3,-0.04555044144978582,-0.07820309759192146,-0.024003113018825406,2.795151686100459,1.7860785592731947,1.2263138987122673,-1.3793342134062807,2.048439913197916,-1.432916370221003,-0.0036740539909615663,-0.0013615200638679437,-0.003571494065122298,0.001657120990523089,0.0027122575796870493,0.0009043679240253588,1.1664845595588076,1.8321571956642966,0.6931864033662222
18.31,-0.044392203332003,-0.07785107181410034,-0.02293459407731424,2.8204769137289913,1.7526025653354331,1.2644080503566113,-1.3511294442689907,2.0659659388512703,-1.420272289717437,-0.0037576964779138036,-0.001312002227667669,-0.003670676797501493,0.0016195440257439511,0.0026991375574103725,0.0008676611560503439,1.1419921467432637,1.8251706356326696,0.6683906080579299
18.32,-0.043213039737231895,-0.07751602201913999,-0.02184943737143108,2.8452858062013853,1.7186881744271951,1.3021401651868807,-1.322676586206977,2.0831528205955423,-1.407250888065568,-0.003838610201404545,-0.0012601386785973112,-0.0037707742878169276,0.0015811579237299056,0.0026865361706243994,0.0008299534131721747,1.1169722250595584,1.8185178116504253,0.6430208716110705
18.330000000000002,-0.04201397834037257,-0.07719857809682917,-0.02074900011888836,2.8695698670577756,1.684340862533393,1.3394939649328645,-1.2939808875363992,2.099996229220876,-1.3938559484162394,-0.003916738330040262,-0.0012059883702735946,-0.0038720592396649656,0.001541990540429503,0.0026744762869216634,0.000791232820775525,1.0914385885878046,1.8122116671206439,0.6170867745078804
18.34,-0.04079608039019411,-0.07689934867045833,-0.019634716782222617,2.893321131191107,1.6495671278431934,1.3764529887275576,-1.265047676224488,2.116491900499308,-1.3800914185289639,-0.003992045402688153,-0.0011496140601352095,-0.003974676870725918,0.0015020700864026215,0.0026629801463203115,0.0007514860520682658,1.065405373506598,1.806264725906844,0.5905976798485135
18.35,-0.039560440017235354,-0.07661892238670998,-0.018508105641181327,2.9165319455318475,1.6143751174047551,1.4130005757581419,-1.2358823567691695,2.1326356516733553,-1.3659614127713824,-0.004064521136943729,-0.001091079922343044,-0.004078536177296033,0.0014614248750331842,0.002652069347096881,0.0007107006902953055,1.038887020962686,1.8006891137173877,0.56356258107285
