time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.96,3.522867876439242,1.8986530948743168,0.712423763926249,-2.1146121104417497,-3.373464910776439,-0.350721773930559
0.97,3.4874686920390667,2.0867343917182675,0.7000443695377895,-2.079737423521359,-3.3525975668592563,-0.3437213302351811
0.98,3.4523647748848107,2.262000393663194,0.6873015718692428,-2.045213775772511,-3.3299775629226245,-0.33684831451648867
0.99,3.4185692094049904,2.4274363114494397,0.6745466020501643,-2.011028083678461,-3.30570319980813,-0.33010284849598703
1.0,3.385886126725164,2.583813170858173,0.6619573611362778,-1.9771692224112094,-3.2798650680995483,-0.32348327488462425
1.01,3.353643459445153,2.7310421152589806,0.6494405091963659,-1.9436327878167579,-3.2525546469469586,-0.3169888697926606
1.02,3.3214986602412058,2.869731915012565,0.6368492256060699,-1.9104178012143458,-3.223857327796833,-0.31062037753659993
1.03,3.2893930300417993,3.001108126437638,0.624212621915402,-1.8775238709139277,-3.1938462465324564,-0.3043782513174459
1.04,3.2571475395788423,3.125943583794017,0.6116505741170786,-1.8449523955181393,-3.162586810694516,-0.2982617455762751
1.05,3.2243961012787077,3.2442254743281227,0.599218016514574,-1.8127084345053521,-3.130144555951235,-0.29226956541112936
1.06,3.1907972034286156,3.355643476391765,0.5868793262825994,-1.780800462471066,-3.096588121187317,-0.2864007721483034
1.07,3.1562009298836347,3.460102643466529,0.5745646761649201,-1.7492384531722296,-3.0619870947526517,-0.2806551253866542
1.08,3.120643522499555,3.5577554758298215,0.5623000892977246,-1.7180320179472341,-3.0264095399943534,-0.275032124493677
1.09,3.084142107201651,3.648347277170064,0.5502068309572061,-1.6871905968752177,-2.989926067222653,-0.2695300561841049
1.1,3.046531517039006,3.731122587949283,0.5382982635983008,-1.6567252817048277,-2.95261484134316,-0.2641470735481219
1.11,3.007687110177444,3.805423672898516,0.5265164344577156,-1.6266484106030532,-2.914560604614175,-0.25888190920354476
1.12,2.967670477168919,3.8709782726735487,0.5148451447551536,-1.596971705831364,-2.8758508218874397,-0.2537334577559932
1.1300000000000001,2.92659895683914,3.9275708149640423,0.5033404483610092,-1.5677057162629726,-2.8365751137377995,-0.24870005327238312
1.1400000000000001,2.884542842941259,3.9748951175856018,0.49201419820697934,-1.53886028783356,-2.7968261625619433,-0.24377991129031332
1.1500000000000001,2.841588209421946,4.012755906980754,0.48086254046723975,-1.5104444057393405,-2.756698603492136,-0.23897128588564093
1.16,2.7978684667114986,4.041169807055682,0.46988267664991457,-1.4824657210722254,-2.7162869054215792,-0.23427245911914177
1.17,2.7535432867372958,4.0603407613531575,0.4590851803529735,-1.4549302882048525,-2.6756834978080475,-0.22968160731561205
1.18,2.7087651182583596,4.070601177554938,0.44848409600989814,-1.427842637022269,-2.634977486032498,-0.22519676635551306
1.19,2.6636700838142158,4.072391208190528,0.43809218245592474,-1.401205936184127,-2.5942535739505925,-0.22081584453095382
1.2,2.618381623998143,4.066252989243482,0.42792175719662723,-1.3750221199441455,-2.5535910440581575,-0.21653662695898754
1.21,2.5730095358659666,4.052812747179863,0.4179875780692953,-1.3492920245854858,-2.513062916586359,-0.21235675117829458
1.22,2.5276529986668455,4.032746638112483,0.4083022866358521,-1.3240154945988174,-2.472735450205234,-0.20827372831193605
1.23,2.482435133808285,4.006768609192441,0.3988700020549363,-1.2991911432607346,-2.43266776411331,-0.2042850282913867
1.24,2.4374690945222754,3.9756505506440023,0.3897033088866196,-1.2748164523155119,-2.39291125860687,-0.2003879952025205
1.25,2.3928349503692496,3.9401473009727734,0.3808218480798563,-1.2508881028118193,-2.3535097855971423,-0.19657977672172194
1.26,2.3485874676658516,3.9009679243884907,0.3722368708830066,-1.2274022281351609,-2.3145001063532575,-0.1928574080128919
1.27,2.3047659562117118,3.8587798379634646,0.3639588329194106,-1.2043545685730437,-2.275912307973623,-0.18921781968369777
1.28,2.2614051564101825,3.8142010553983052,0.355994047485901,-1.181740517008942,-2.23777029741964,-0.18565787920883878
1.29,2.2185390209255997,3.767793387177556,0.3483469060258663,-1.159555126799686,-2.2000923635478644,-0.1821744101485801
1.3,2.1761996362575187,3.720056734250608,0.3410185798576747,-1.1377931304371107,-2.162891796205358,-0.17876422435000336
1.31,2.1344177313838393,3.6714269655236365,0.33400710684279,-1.1164489531232724,-2.126177526550122,-0.17542415328157546
1.32,2.093223574080299,3.622277759195024,0.3273069188715421,-1.0955167173824694,-2.0899547489581716,-0.17215108409286003
1.33,2.0526496433167787,3.5729284630585822,0.32090907270094393,-1.0749902209493016,-2.054225464327586,-0.16894199336585058
