time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.24,0.025000212307182856,-0.11594071104821957,-0.21602966589971162,16.089391512357054,-10.40566434043571,4.088686959542047,7.159700103826635,9.068744311393381,3.3431989947850673,-0.3421908073521653,-0.3095130348378969,-0.22978244042099805,0.06820070361656942,0.07422929657588186,0.07693755051105684,0.3675235885697168,-1.6295406704677307,-2.976281117429276
0.25,0.014894397313530483,-0.09765849419024875,-0.2176646700925966,11.872064058705147,-12.45126348361057,2.9991079152968565,7.278420744413687,8.944231676557274,3.373190073938036,-0.31916167189768097,-0.29570160794847494,-0.20371765930439212,0.0650090868975926,0.07127228049639711,0.07490037391801292,0.24031315439486794,-1.364893756175166,-2.9940477614603873
0.26,0.011064896884043662,-0.08064648741165215,-0.2171620934320826,8.128700673036095,-14.203308036205222,1.767257192398636,7.359707751144048,8.802198596195222,3.3908626458620224,-0.2933578969850208,-0.28308824504759167,-0.18306306743802075,0.0620755079277424,0.0684413980459212,0.07306974324363272,0.19163697573756358,-1.1192793157203957,-2.9858502821798303
0.27,0.0128883732921512,-0.06860596790698636,-0.2137851720044015,4.9918116864051365,-16.13490580804245,0.4145728813524867,7.409625868008099,8.640849538114797,3.3950083746755473,-0.2654010955098978,-0.2677349911783265,-0.16783589004225175,0.05942149697264342,0.06576404813413793,0.0713913843432102,0.21025959445283343,-0.9466857974813019,-2.942460878721909
0.28,0.02059485487557655,-0.06533666765466606,-0.20643063698648945,2.960608871956055,-18.643214580228005,-0.8145764556362014,7.43923195672766,8.454417392312516,3.386862610119185,-0.23497887585309707,-0.24598353363045855,-0.1584775210048191,0.05707170821411245,0.06330421279783334,0.069806609133162,0.300714168016542,-0.8983631096628498,-2.849269478626604
0.29,0.03386831536998969,-0.07342540395591435,-0.19377806565233158,2.144500046281976,-22.176521736405405,-1.505785424095354,7.46067695719048,8.232652174948463,3.3718047558782316,-0.20233960972824844,-0.21567980576411394,-0.15565435878614042,0.055048312116829964,0.0611474147401922,0.0682500655453006,0.46569672874452717,-1.0092164564967,-2.6870432947153957
0.3,0.04965401656792956,-0.08996497640065648,-0.18024300086530864,2.2026840586083294,-26.63888544954573,-1.9972720065606206,7.482703797776564,7.966263320453005,3.3518320358126252,-0.17044668075629102,-0.18028004261074076,-0.15428108757275877,0.05334384530926706,0.0593446143140848,0.066707254669573,0.6723525887729653,-1.2418176197311854,-2.5092375908715026
0.31,0.06763556265222093,-0.11489195140187736,-0.16695922828178267,3.0934417086718806,-32.17656894710853,-2.3586137420195623,7.513638214863283,7.6444976309819195,3.3282458983924297,-0.13930934287533348,-0.1400370063257368,-0.15307620034987862,0.05195075188051372,0.05794424425082743,0.06517649266607421,0.9180165148036791,-1.5965880929853085,-2.330491633502539
0.32,0.08519095779540109,-0.1477868765728605,-0.15205197574004714,3.8722214579775978,-38.79723440577355,-1.8718943072443683,7.552360429443059,7.256525286924184,3.309526955319986,-0.11128407136465276,-0.09552965685386494,-0.15389421909403322,0.05083791116686719,0.05698894768228878,0.06363755047513388,1.1645522558502284,-2.059293202754183,-2.125531046689919
0.33,0.09181086046509623,-0.1550787700096059,-0.13925964918462297,2.9971611604125687,-42.824227787013164,-0.8167833054697748,7.582332041047184,6.8282830090540525,3.3013591222652883,-0.09648442578003352,-0.08045997599517546,-0.15281217915368495,0.04987306690906686,0.05618434792233702,0.06210942868359703,1.2578718326507254,-2.1590110723314075,-1.9460706871239521
0.34,0.09066699307436465,-0.1100990914006772,-0.13839621107208888,1.125822057530197,-40.94054236643916,-0.836239909350418,7.593590261622486,6.4188775853896605,3.2929967231717843,-0.09066927368292782,-0.11897986478511802,-0.14018931800387835,0.04896637417223758,0.05499454927448584,0.060707535503558244,1.2405672536691306,-1.5249259971147955,-1.9324365259711984
0.35000000000000003,0.09070986254728552,-0.061360545935824184,-0.14132847088858025,-0.5454636892448255,-38.00453857741659,-1.4497151312970828,7.588135624730038,6.038832199615495,3.2784995718588132,-0.08419982300540593,-0.15831940414421217,-0.12514160459866536,0.048124375942183516,0.05341135523304372,0.05945611945757159,1.2402727908798543,-0.8323979028167281,-1.9721003876836005
0.36,0.0920718594996055,-0.031861209677497726,-0.14172098616225348,-2.0017953310504204,-36.61244045628472,-1.958974497491413,7.568117671419533,5.672707795052648,3.258909826883899,-0.07696825891811188,-0.17559754567265062,-0.11414334963319084,0.047354693353002394,0.05165537977631721,0.05831468596123968,1.258887654812279,-0.4362130671006852,-1.9763358656781191
0.37,0.09295431053871539,-0.015460135550854126,-0.13975433879413446,-3.5081126618964333,-36.30863910151864,-2.246412877922198,7.533036544800569,5.309621404037461,3.2364456981046774,-0.07080361626762591,-0.178827848648729,-0.10660970326777214,0.04664665719032614,0.04986710128982992,0.05724858892856196,1.2707298750641651,-0.2305560434668473,-1.9476786196495837
0.38,0.09309267426148882,-0.0028235881239933036,-0.1368638212366493,-5.129841724570162,-36.19117164996406,-2.372444711244555,7.481738127554867,4.94770968753782,3.212721250992232,-0.06587659352224218,-0.17847003629878613,-0.10077726551087654,0.04598789125510372,0.04808240092684206,0.0562408162734532,1.2719996883216071,-0.08147782488010506,-1.906063053349477
0.39,0.09350473790327918,0.012251710627863233,-0.1342915900702275,-6.735849611468424,-35.51506704259044,-2.4496863069569175,7.414379631440183,4.592559017111916,3.188224387922663,-0.06106992479740084,-0.15649828797744067,-0.09523800169132654,0.04537719200712971,0.04651741804706765,0.05528843625653993,1.2772317554549364,0.18871893014471292,-1.868868765563384
